code,name,regioFacet,level,url,name_norm,centroid_geom,centroid_lon,centroid_lat,municipality_final_v8,province_final_v8,midwest_subregion_v8,water_count,bad_entry_count,high_conf_count,night_allowed_count,night_restricted_count,night_not_allowed_count,shelter_allowed_count,shelter_restricted_count,shelter_not_allowed_count,third_rod_allowed_count,third_rod_restricted_count,third_rod_not_allowed_count,pc4_count,authority_count,species_hint,midwest_focus_v8,mapbox_feature_id_v8,map_title_v8,map_subtitle_v8,layer_type_v8
0737,Tietjerksteradeel (Tytsjerksteradiel),tcm:106-353442-1024,4,/regioinformatie/gemeente/tytsjerksteradiel/,tietjerksteradeel,POINT (5.962730849745117 53.19982207999134),5.962730849745117,53.19982207999134,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::tietjerksteradeel,Tietjerksteradeel (Tytsjerksteradiel),,municipality_polygon
0096,Vlieland,tcm:106-353443-1024,4,/regioinformatie/gemeente/vlieland/,vlieland,POINT (5.034634042598645 53.219682542996445),5.034634042598645,53.219682542996445,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::vlieland,Vlieland,,municipality_polygon
0098,Weststellingwerf,tcm:106-353444-1024,4,/regioinformatie/gemeente/weststellingwerf/,weststellingwerf,POINT (6.017753591661924 52.875783569195725),6.017753591661924,52.875783569195725,Weststellingwerf,Friesland (Fryslân),,3,0,3,0,0,0,0,0,0,0,0,0,0,1,Onbekend,False,municipality::weststellingwerf,Weststellingwerf,Friesland (Fryslân),municipality_polygon
0197,Aalten,tcm:106-353446-1024,4,/regioinformatie/gemeente/aalten/,aalten,POINT (6.560295373972197 51.921726195210226),6.560295373972197,51.921726195210226,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::aalten,Aalten,,municipality_polygon
0200,Apeldoorn,tcm:106-353447-1024,4,/regioinformatie/gemeente/apeldoorn/,apeldoorn,POINT (5.921753772765174 52.18981477006807),5.921753772765174,52.18981477006807,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::apeldoorn,Apeldoorn,,municipality_polygon
0202,Arnhem,tcm:106-353448-1024,4,/regioinformatie/gemeente/arnhem/,arnhem,POINT (5.892685285378967 52.0009699072459),5.892685285378967,52.0009699072459,Arnhem,Gelderland,,8,0,8,0,0,0,0,0,0,0,0,0,0,1,Onbekend | Roofvis,False,municipality::arnhem,Arnhem,Gelderland,municipality_polygon
0203,Barneveld,tcm:106-353449-1024,4,/regioinformatie/gemeente/barneveld/,barneveld,POINT (5.6418598806934925 52.168326592872),5.6418598806934925,52.168326592872,,,midwest-oost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,municipality::barneveld,Barneveld,,municipality_polygon
1859,Berkelland,tcm:106-353450-1024,4,/regioinformatie/gemeente/berkelland/,berkelland,POINT (6.570817648432807 52.1008223438934),6.570817648432807,52.1008223438934,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::berkelland,Berkelland,,municipality_polygon
0209,Beuningen,tcm:106-353451-1024,4,/regioinformatie/gemeente/beuningen/,beuningen,POINT (5.739982499752805 51.86273614495898),5.739982499752805,51.86273614495898,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::beuningen,Beuningen,,municipality_polygon
1876,Bronckhorst,tcm:106-353452-1024,4,/regioinformatie/gemeente/bronckhorst/,bronckhorst,POINT (6.303093111213181 52.04521814478163),6.303093111213181,52.04521814478163,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::bronckhorst,Bronckhorst,,municipality_polygon
